user_id,date,hour,water_liters,electricity_kwh
user1,2025-01-01,0,12.49,2.39
user1,2025-01-01,1,19.64,1.58
user1,2025-01-01,2,8.12,0.56
user1,2025-01-01,3,6.16,2.19
user1,2025-01-01,4,17.02,1.83
user1,2025-01-01,5,5.41,2.43
user1,2025-01-01,6,21.65,0.69
user1,2025-01-01,7,8.64,0.62
user1,2025-01-01,8,11.08,1.41
user1,2025-01-01,9,13.64,0.87
user1,2025-01-01,10,17.24,0.52
user1,2025-01-01,11,10.84,1.04
user1,2025-01-01,12,14.12,2.01
user1,2025-01-01,13,8.99,1.38
user1,2025-01-01,14,16.85,0.31
user1,2025-01-01,15,17.15,0.59
user1,2025-01-01,16,6.3,2.38
user1,2025-01-01,17,24.31,2.06
user1,2025-01-01,18,11.09,0.42
user1,2025-01-01,19,18.68,1.21
user1,2025-01-01,20,7.44,1.34
user1,2025-01-01,21,5.69,2.29
user1,2025-01-01,22,10.18,1.72
user1,2025-01-01,23,11.23,1.4
user1,2025-01-02,0,15.93,0.63
user1,2025-01-02,1,24.39,1.98
user1,2025-01-02,2,23.79,2.26
user1,2025-01-02,3,16.96,2.32
user1,2025-01-02,4,6.77,0.65
user1,2025-01-02,5,5.9,0.95
user1,2025-01-02,6,12.77,0.82
user1,2025-01-02,7,21.57,1.02
user1,2025-01-02,8,10.62,1.45
user1,2025-01-02,9,7.82,2.05
user1,2025-01-02,10,6.49,2.47
user1,2025-01-02,11,20.44,0.66
user1,2025-01-02,12,5.11,2.08
user1,2025-01-02,13,19.14,1.88
user1,2025-01-02,14,20.43,0.37
user1,2025-01-02,15,12.17,0.47
user1,2025-01-02,16,22.26,1.63
user1,2025-01-02,17,11.62,0.35
user1,2025-01-02,18,11.22,0.95
user1,2025-01-02,19,19.59,1.67
user1,2025-01-02,20,22.74,1.29
user1,2025-01-02,21,7.39,1.84
user1,2025-01-02,22,20.22,1.49
user1,2025-01-02,23,20.42,1.34
user1,2025-01-03,0,15.45,1.18
user1,2025-01-03,1,5.51,0.45
user1,2025-01-03,2,5.63,1.66
user1,2025-01-03,3,11.29,1.37
user1,2025-01-03,4,23.15,0.77
user1,2025-01-03,5,13.21,1.94
user1,2025-01-03,6,9.58,0.38
user1,2025-01-03,7,10.8,0.57
user1,2025-01-03,8,23.59,2.06
user1,2025-01-03,9,17.67,2.2
user1,2025-01-03,10,21.07,0.63
user1,2025-01-03,11,22.85,1.44
user1,2025-01-03,12,21.15,2.26
user1,2025-01-03,13,11.36,0.45
user1,2025-01-03,14,9.56,1.18
user1,2025-01-03,15,21.36,2.18
user1,2025-01-03,16,5.14,1.37
user1,2025-01-03,17,13.35,0.71
user1,2025-01-03,18,7.4,0.98
user1,2025-01-03,19,23.86,0.94
user1,2025-01-03,20,15.38,1.82
user1,2025-01-03,21,12.27,2.44
user1,2025-01-03,22,24.25,0.78
user1,2025-01-03,23,14.94,0.89
user1,2025-01-04,0,10.7,0.28
user1,2025-01-04,1,17.19,1.36
user1,2025-01-04,2,6.03,0.84
user1,2025-01-04,3,23.17,0.75
user1,2025-01-04,4,7.9,1.33
user1,2025-01-04,5,24.71,0.76
user1,2025-01-04,6,18.44,1.95
user1,2025-01-04,7,9.75,1.87
user1,2025-01-04,8,12.36,1.65
user1,2025-01-04,9,17.67,1.43
user1,2025-01-04,10,6.81,2.12
user1,2025-01-04,11,11.42,0.63
user1,2025-01-04,12,5.82,1.56
user1,2025-01-04,13,18.55,0.24
user1,2025-01-04,14,15.24,0.72
user1,2025-01-04,15,17.9,0.6
user1,2025-01-04,16,18.82,1.09
user1,2025-01-04,17,23.73,0.52
user1,2025-01-04,18,11.82,0.46
user1,2025-01-04,19,23.49,2.22
user1,2025-01-04,20,10.16,1.72
user1,2025-01-04,21,21.34,1.48
user1,2025-01-04,22,15.59,0.76
user1,2025-01-04,23,6.86,2.26
user1,2025-01-05,0,23.01,1.66
user1,2025-01-05,1,11.78,1.0
user1,2025-01-05,2,19.52,2.26
user1,2025-01-05,3,22.74,1.99
user1,2025-01-05,4,17.84,0.39
user1,2025-01-05,5,8.23,2.27
user1,2025-01-05,6,17.13,0.22
user1,2025-01-05,7,7.03,1.73
user1,2025-01-05,8,5.1,0.57
user1,2025-01-05,9,15.97,1.79
user1,2025-01-05,10,18.04,0.72
user1,2025-01-05,11,19.24,0.75
user1,2025-01-05,12,11.51,1.92
user1,2025-01-05,13,17.99,2.15
user1,2025-01-05,14,18.15,1.51
user1,2025-01-05,15,6.87,1.05
user1,2025-01-05,16,10.3,0.76
user1,2025-01-05,17,24.46,1.1
user1,2025-01-05,18,22.84,1.65
user1,2025-01-05,19,20.9,1.36
user1,2025-01-05,20,16.54,1.33
user1,2025-01-05,21,8.9,1.86
user1,2025-01-05,22,10.62,0.26
user1,2025-01-05,23,17.91,0.61
user1,2025-01-06,0,23.81,2.39
user1,2025-01-06,1,23.3,1.05
user1,2025-01-06,2,5.31,2.34
user1,2025-01-06,3,13.56,2.42
user1,2025-01-06,4,24.27,2.16
user1,2025-01-06,5,10.89,1.09
user1,2025-01-06,6,22.02,0.93
user1,2025-01-06,7,8.39,1.48
user1,2025-01-06,8,23.72,1.8
user1,2025-01-06,9,16.4,0.42
user1,2025-01-06,10,17.3,2.48
user1,2025-01-06,11,7.8,1.39
user1,2025-01-06,12,22.55,1.9
user1,2025-01-06,13,18.94,1.82
user1,2025-01-06,14,12.19,0.88
user1,2025-01-06,15,21.19,2.06
user1,2025-01-06,16,22.34,2.3
user1,2025-01-06,17,15.23,1.35
user1,2025-01-06,18,20.97,1.69
user1,2025-01-06,19,19.04,2.03
user1,2025-01-06,20,22.8,0.98
user1,2025-01-06,21,12.51,0.42
user1,2025-01-06,22,16.57,0.28
user1,2025-01-06,23,14.31,1.45
user1,2025-01-07,0,10.73,1.56
user1,2025-01-07,1,5.61,0.29
user1,2025-01-07,2,21.45,1.03
user1,2025-01-07,3,7.54,1.4
user1,2025-01-07,4,20.4,0.7
